font,MJ文字図形名,対応するUCS,総画数(参考),読み(参考),バージョン
曁󠄆,MJ013414,U+66C1,17,キ・およぶ,Ver.006.01
曂,MJ013416,U+66C2,16,コウ・オウ,Ver.006.01
曃󠄂,MJ013417,U+66C3,15,タイ,Ver.006.01
曃,MJ013418,U+66C3,16,タイ・ダイ,Ver.006.01
曄,MJ013419,U+66C4,14,ヨウ・ユウ・オウ・かがやく,Ver.006.01
曄󠄂,MJ013420,U+66C4,16,ヨウ・ユウ・オウ・かがやく,Ver.006.01
曅󠄁,MJ013421,U+66C5,16,ヨウ,Ver.006.01
曅,MJ013422,U+66C5,14,ヨウ・かがやく,Ver.006.01
曆,MJ013423,U+66C6,16,レキ・リャク・こよみ,Ver.006.01
曇,MJ013424,U+66C7,16,ドン・タン・くもる・くもり,Ver.006.01
曈,MJ013425,U+66C8,16,トウ・ツ,Ver.006.01
曉,MJ013426,U+66C9,16,ギョウ・あかつき,Ver.006.01
曊,MJ013427,U+66CA,16,ヒ,Ver.006.01
曋,MJ013428,U+66CB,16,シン,Ver.006.01
曌,MJ013429,U+66CC,16,ショウ,Ver.006.01
曎,MJ013431,U+66CE,17,エキ・ヤク,Ver.006.01
曏,MJ013432,U+66CF,17,コウ・キョウ・ショウ・さきに,Ver.006.01
曏󠄂,MJ013433,U+66CF,16,キョウ・コウ・ショウ・あきらか・さき・さきに・さきには,Ver.006.01
曐,MJ013437,U+66D0,17,セイ・ほし,Ver.006.01
曑,MJ013438,U+66D1,17,シン,Ver.006.01
曒,MJ013439,U+66D2,17,キョウ・コウ・ゴウ,Ver.006.01
曓,MJ013440,U+66D3,17,ホウ・ボウ,Ver.006.01
曔,MJ013441,U+66D4,16,ケイ・キョウ,Ver.006.01
曕,MJ013442,U+66D5,17,エン,Ver.006.01
曖󠄂,MJ013443,U+66D6,17,アイ・くらい・くらし,Ver.006.01
曖,MJ013444,U+66D6,17,アイ・くらい,Ver.006.01
曗,MJ013445,U+66D7,17,ヨウ,Ver.006.01
曘,MJ013446,U+66D8,18,ジュ・ニュ,Ver.006.01
曙,MJ013447,U+66D9,17,ショ・あけぼの,Ver.006.01
曙󠄃,MJ013448,U+66D9,18,ショ・あけぼの,Ver.006.01
曚,MJ013449,U+66DA,17,モウ・ボウ・モ・くらい,Ver.006.01
曚󠄂,MJ013450,U+66DA,18,モウ・ボウ・モ・くらい,Ver.006.01
曚󠄃,MJ013451,U+66DA,17,モウ・くらい,Ver.006.01
曛,MJ013452,U+66DB,18,クン,Ver.006.01
曜󠄃,MJ013453,U+66DC,18,ヨウ・かがやく,Ver.006.01
曜,MJ013454,U+66DC,18,ヨウ・かがやく,Ver.006.01
曝,MJ013455,U+66DD,19,バク・ホク・ホウ・ボウ・ボク・さらす,Ver.006.01
曞,MJ013456,U+66DE,19,レイ,Ver.006.01
曟,MJ013458,U+66DF,19,シン,Ver.006.01
曠,MJ013459,U+66E0,19,コウ・あきらか・むなしい・むなし,Ver.006.01
曠󠄂,MJ013460,U+66E0,18,コウ・あきらか・むなしい,Ver.006.01
曣,MJ013463,U+66E3,20,エン・アン,Ver.006.01
曤,MJ013464,U+66E4,20,カク,Ver.006.01
曥,MJ013465,U+66E5,20,リョ・ロ,Ver.006.01
曦,MJ013466,U+66E6,20,ギ・キ,Ver.006.01
曧,MJ013467,U+66E7,20,ユウ・ユ,Ver.006.01
曨,MJ013469,U+66E8,20,ロウ・ル,Ver.006.01
曨󠄂,MJ013470,U+66E8,20,ロウ・ル・おぼろ,Ver.006.01
曩,MJ013471,U+66E9,21,ドウ・ノウ・さき・さきに,Ver.006.01
曪,MJ013472,U+66EA,23,ラ,Ver.006.01
曫,MJ013473,U+66EB,23,ラン・バン・マン・レン,Ver.006.01
曬,MJ013474,U+66EC,23,サイ・シ・サ・チ・さらす,Ver.006.01
曭,MJ013475,U+66ED,24,トウ,Ver.006.01
曮,MJ013476,U+66EE,24,ガン・ゴン・ゲン,Ver.006.01
曯,MJ013477,U+66EF,25,ショク・ソク,Ver.006.01
曰,MJ013478,U+66F0,4,エツ・オチ・いわく・ここに・のたまわく・ひらび・いう・いはく・のたまう,Ver.006.01
曱,MJ013479,U+66F1,5,オウ,Ver.006.01
曲,MJ013480,U+66F2,6,キョク・コク・ク・まがる・まげる・くま・つぶさに・くせ,Ver.006.01
曳,MJ013481,U+66F3,6,エイ・ひく・ひき,Ver.006.01
更,MJ013482,U+66F4,7,コウ・キョウ・さら・ふける・ふかす・あらためる・かえる・かわる・こもごも・さらに,Ver.006.01
更󠄃,MJ013483,U+66F4,7,コウ・キョウ・さら・ふける・ふかす・あらためる・かえる・かわる,Ver.006.01
曵,MJ013484,U+66F5,7,エイ・ひく,Ver.006.01
曵󠄃,MJ013485,U+66F5,7,エイ・ひく,Ver.006.01
曵󠄄,MJ013486,U+66F5,7,エイ・ひく,Ver.006.01
曶,MJ013487,U+66F6,8,コツ・コチ,Ver.006.01
曷,MJ013488,U+66F7,9,カツ・アツ・アチ・なに・いずくんぞ・なんぞ,Ver.006.01
曷󠄂,MJ013489,U+66F7,8,カツ・アツ・アチ・なに・いずくんぞ・なんぞ,Ver.006.01
書󠄂,MJ013491,U+66F8,10,ショ・チュウ・かく・ひる,Ver.006.01
書,MJ013492,U+66F8,10,ショ・かく・ふみ,Ver.006.01
曹,MJ013493,U+66F9,11,ソウ・ゾウ・ともがら,Ver.006.01
曺,MJ013494,U+66FA,10,ソウ,Ver.006.01
曻󠄃,MJ013495,U+66FB,10,のぼる,Ver.006.01
曻,MJ013496,U+66FB,10,ショウ・のぼる,Ver.006.01
曻󠄄,MJ013497,U+66FB,11,ショウ・のぼる,Ver.006.01
曼,MJ013498,U+66FC,11,マン・バン・ながい,Ver.006.01
曼󠄃,MJ013499,U+66FC,11,マン・バン・ながい,Ver.006.01
曽,MJ013500,U+66FD,11,ソウ・ソ・かつて,Ver.006.01
曾,MJ013501,U+66FE,12,ソ・ソウ・ゾ・ゾウ・かつて・すなわち・なんぞ,Ver.006.01
曾󠄂,MJ013502,U+66FE,12,ソ・ソウ・ゾ・かつて・すなわち,Ver.006.01
曾󠄃,MJ013503,U+66FE,12,ソ・ソウ・ゾ・かつて・すなわち,Ver.006.01
替,MJ013504,U+66FF,12,タイ・テイ・テツ・テチ・かえる・かわる,Ver.006.01
最󠄃,MJ013505,U+6700,12,サイ・もっとも,Ver.006.01
最,MJ013506,U+6700,12,サイ・サツ・もっとも・も,Ver.006.01
朁󠄂,MJ013507,U+6701,12,サン・セン・ゼン・ソン,Ver.006.01
朁,MJ013508,U+6701,14,サン・セン・ゼン・ソン,Ver.006.01
朂,MJ013509,U+6702,12,キョク・コク・つとめる,Ver.006.01
會,MJ013510,U+6703,13,カイ・カツ・エ・カチ・あう,Ver.006.01
㑹󠄁,MJ013511,U+3479,12,カイ・エ・あう,Ver.006.01
會󠄃,MJ013512,U+6703,13,エ・カイ・カチ・カツ・あう・あつまる,Ver.006.01
朄,MJ013513,U+6704,14,イン,Ver.006.01
朅,MJ013514,U+6705,14,ケツ・ケチ・コチ,Ver.006.01
朆,MJ013515,U+6706,16,フ,Ver.006.01
朇,MJ013516,U+6707,21,ヒ,Ver.006.01
月󠄃,MJ013519,U+6708,4,ゲツ・ガツ・つき,Ver.006.01
月,MJ013520,U+6708,4,ゲツ・ガツ・ガチ・つき,Ver.006.01
有,MJ013521,U+6709,6,ユウ・ウ・ある・たもつ・また,Ver.006.01
有󠄃,MJ013522,U+6709,6,ユウ・ウ・ある・もつ・たもつ,Ver.006.01
朊,MJ013523,U+670A,8,ゲン・ガン,Ver.006.01
朋󠄃,MJ013524,U+670B,8,ホウ・ボウ・とも,Ver.006.01
朋,MJ013525,U+670B,8,ホウ・とも,Ver.006.01
朌,MJ013526,U+670C,8,ハン,Ver.006.01
服󠄃,MJ013527,U+670D,8,フク・ブク・ハク・フウ・ブ・ホク・ボク・したがう,Ver.006.01
服,MJ013528,U+670D,8,フク・ブク・ヒョク・フウ・フ・したがう,Ver.006.01
朎,MJ013529,U+670E,9,レイ・リョウ,Ver.006.01
朎󠄂,MJ013530,U+670E,9,リョウ・レイ,Ver.006.01
朏,MJ013531,U+670F,9,ヒ・ハイ・ヘ・ホツ・ホチ・キツ・コチ・みかづき,Ver.006.01
朐,MJ013532,U+6710,9,ク・キョウ・くびき,Ver.006.01
朒,MJ013533,U+6712,10,ジク・ニク,Ver.006.01
朓,MJ013534,U+6713,10,チョウ・ジョウ・ヨウ,Ver.006.01
朓󠄂,MJ013535,U+6713,10,チョウ・ヨウ,Ver.006.01
朔,MJ013536,U+6714,10,サク・ソク・ついたち,Ver.006.01
朔󠄂,MJ013537,U+6714,10,サク・ついたち,Ver.006.01
朕󠄄,MJ013539,U+6715,10,チン・ジン・われ,Ver.006.01
朕,MJ013540,U+6715,10,チン・ジン・われ,Ver.006.01
朖,MJ013541,U+6716,11,ロウ・ほがらか,Ver.006.01
朗,MJ013542,U+6717,10,ロウ・ほがらか・あきらか,Ver.006.01
朗󠄅,MJ013543,U+6717,11,ロウ・ほがらか,Ver.006.01
朙,MJ013545,U+6719,11,メイ・あかるい,Ver.006.01
朙󠄂,MJ013546,U+6719,12,ミン・ベイ・ボウ・メイ・ミョウ・あかるい・あきらか,Ver.006.01
朚,MJ013547,U+671A,11,コウ・ボウ・モウ,Ver.006.01
朚󠄁,MJ013548,U+671A,11,コウ・ボウ・モウ,Ver.006.01
望󠄇,MJ013549,U+671B,11,ボウ・モウ・のぞむ,Ver.006.01
望,MJ013550,U+671B,11,ボウ・モウ・のぞむ・のぞみ・もち,Ver.006.01
望󠄊,MJ013551,U+671B,11,ボウ・モウ・のぞむ,Ver.006.01
望󠄆,MJ013552,U+671B,11,ボウ・モウ・のぞむ,Ver.006.01
望󠄅,MJ013553,U+671B,11,ボウ・モウ・のぞむ,Ver.006.01
望󠄄,MJ013554,U+671B,11,ボウ・モウ・のぞむ,Ver.006.01
朜,MJ013556,U+671C,12,トン,Ver.006.01
朝󠄃,MJ013557,U+671D,12,チョウ・ジョウ・チュ・あさ,Ver.006.01
朝,MJ013558,U+671D,12,チョウ・チュ・あさ・あした,Ver.006.01
朞,MJ013559,U+671E,12,キ,Ver.006.01
朞󠄂,MJ013560,U+671E,12,キ,Ver.006.01
朞󠄃,MJ013561,U+671E,12,キ,Ver.006.01
期,MJ013562,U+671F,12,キ・ゴ・ギ,Ver.006.01
期󠄃,MJ013563,U+671F,12,キ・ゴ,Ver.006.01
朠,MJ013564,U+6720,12,エイ・ヨウ,Ver.006.01
朠󠄂,MJ013565,U+6720,13,エイ・ヨウ,Ver.006.01
朡,MJ013566,U+6721,13,ソウ・ス,Ver.006.01
朡󠄀,MJ013567,U+6721,13,ソウ,Ver.006.01
朢,MJ013568,U+6722,14,ボウ・モウ・のぞむ,Ver.006.01
朢󠄂,MJ013569,U+6722,14,ボウ・モウ・のぞむ,Ver.006.01
朣,MJ013570,U+6723,16,ドウ・トウ・ツ,Ver.006.01
朤,MJ013571,U+6724,16,ロウ,Ver.006.01
朦,MJ013572,U+6726,17,モウ・ボウ・モ・おぼろ,Ver.006.01
朦󠄂,MJ013573,U+6726,18,モウ・ボウ・モ・おぼろ,Ver.006.01
朦󠄃,MJ013574,U+6726,17,モウ・おぼろ,Ver.006.01
朧,MJ013575,U+6727,20,ロウ・ル・おぼろ,Ver.006.01
木,MJ013576,U+6728,4,ボク・モク・き・こ,Ver.006.01
未,MJ013577,U+672A,5,ミ・ビ・いまだ・ひつじ,Ver.006.01
末,MJ013578,U+672B,5,マツ・バツ・ベキ・ミャク・マチ・すえ・なし,Ver.006.01
本,MJ013579,U+672C,5,ホン・もと,Ver.006.01
札,MJ013580,U+672D,5,サツ・サチ・アツ・アチ・シツ・シチ・セツ・セチ・ふだ,Ver.006.01
朮,MJ013581,U+672E,5,ジュツ・ジュチ・シュツ・チュツ・もちあわ・おけら,Ver.006.01
枩󠄄,MJ013582,U+67A9,7,,Ver.006.01
朱,MJ013583,U+6731,6,シュ・あか・あけ,Ver.006.01
朲,MJ013584,U+6732,6,ジン・ニン,Ver.006.01
朳,MJ013585,U+6733,6,ハツ・ハチ・ヘツ・ヘチ・えぶり・さらえ,Ver.006.01
朴,MJ013586,U+6734,6,ボク・ホウ・ホク・フ・ヒュウ・ハク・ほお,Ver.006.01
朵,MJ013587,U+6735,6,ダ・タ・えだ,Ver.006.01
朶,MJ013588,U+6736,6,ダ・タ・えだ,Ver.006.01
朷,MJ013589,U+6737,6,トウ・チョウ・ジョウ・ボク・モク,Ver.006.01
朸,MJ013590,U+6738,6,リョク・リキ・ロク・キョク・キン・ゴン・おうご,Ver.006.01
朹,MJ013591,U+6739,6,キュウ・グ・キ,Ver.006.01
机,MJ013592,U+673A,6,キ・ガイ・つくえ,Ver.006.01
朻,MJ013593,U+673B,6,キュウ・ク・キョウ・グ,Ver.006.01
朼,MJ013594,U+673C,6,ヒ,Ver.006.01
朽,MJ013595,U+673D,6,キュウ・ク・くちる,Ver.006.01
朾,MJ013596,U+673E,6,トウ・ジョウ・テイ・チョウ,Ver.006.01
朿,MJ013597,U+673F,6,シ・キョク・コキ・とげ,Ver.006.01
杁,MJ013598,U+6741,6,いり,Ver.006.01
权,MJ013599,U+6743,6,ケン・ゴン・おもり・はかる,Ver.006.01
杄,MJ013600,U+6744,7,セン,Ver.006.01
杅,MJ013601,U+6745,7,ウ,Ver.006.01
杆,MJ013602,U+6746,7,カン,Ver.006.01
杇,MJ013603,U+6747,7,オ・ウ・コ・ゴ・こて,Ver.006.01
杈,MJ013604,U+6748,7,サ・シャ・セ・サイ・あじか・えだ・やらい・やす,Ver.006.01
杈󠄂,MJ013605,U+6748,7,サ・あじか・えだ・やらい,Ver.006.01
杉,MJ013606,U+6749,7,サン・セン・すぎ,Ver.006.01
杊,MJ013607,U+674A,7,シュン・ジュン,Ver.006.01
杋,MJ013608,U+674B,7,ハン・ボン・ヘン,Ver.006.01
杌,MJ013609,U+674C,7,ゴツ・グツ・グチ・ゲチ・ゲツ・ガチ・ガツ,Ver.006.01
杍,MJ013610,U+674D,7,シ・リ,Ver.006.01
李,MJ013611,U+674E,7,リ・すもも,Ver.006.01
杏,MJ013612,U+674F,7,キョウ・アン・コウ・あんず,Ver.006.01
材,MJ013613,U+6750,7,ザイ・サイ,Ver.006.01
村,MJ013614,U+6751,7,ソン・むら,Ver.006.01
杒,MJ013615,U+6752,7,ジン・ニン・ジ・ニ,Ver.006.01
杓󠄃,MJ013616,U+6753,7,シャク・チャク・ジャク・ヒョウ・テキ・チョウ・ひしゃく,Ver.006.01
杓,MJ013617,U+6753,7,シャク・ヒョウ・テキ・チョウ・ひしゃく,Ver.006.01
杔,MJ013618,U+6754,7,タク・チャク,Ver.006.01
杕,MJ013619,U+6755,7,テイ・ダイ・タ・ダ・かじ,Ver.006.01
杖󠄅,MJ013620,U+6756,7,ジョウ・チョウ・つえ・うつ,Ver.006.01
杖󠄃,MJ013621,U+6756,8,チョウ・ジョウ・つえ,Ver.006.01
杖,MJ013622,U+6756,7,ジョウ・つえ,Ver.006.01
杗,MJ013623,U+6757,7,ボウ・モウ・ム,Ver.006.01
杗󠄁,MJ013624,U+6757,7,ボウ・モウ,Ver.006.01
杘,MJ013625,U+6758,7,チ・ジ・ニ・くそ,Ver.006.01
杙,MJ013626,U+6759,7,ヨク・ヨキ・くい,Ver.006.01
杚,MJ013627,U+675A,7,コツ・クチ・カイ,Ver.006.01
杛,MJ013628,U+675B,7,キュウ・ク,Ver.006.01
杜,MJ013629,U+675C,7,ト・ズ・ド・もり・ふさぐ,Ver.006.01
杝,MJ013630,U+675D,7,イ・シ・チ・ジ・リ・タ・タイ・デ,Ver.006.01
杞,MJ013631,U+675E,7,キ・コ・シ・ジ・カイ・ガイ,Ver.006.01
杞󠄃,MJ013632,U+675E,7,キ・コ・シ・ジ・カイ・ガイ,Ver.006.01
��,MJ013633,U+233CC,7,キ・コ・すき,Ver.006.01
束,MJ013634,U+675F,7,ソク・ショク・シュ・たば・つか・たばねる・つかねる,Ver.006.01
杠,MJ013635,U+6760,7,コウ・ク・ちぎ,Ver.006.01
条,MJ013636,U+6761,7,ジョウ・チョウ・テキ・えだ・すじ,Ver.006.01
杢,MJ013638,U+6762,7,もく,Ver.006.01
杣,MJ013639,U+6763,7,そま,Ver.006.01
杤,MJ013640,U+6764,7,とち,Ver.006.01
来,MJ013641,U+6765,7,ライ・くる・きたる・きたす,Ver.006.01
杦,MJ013642,U+6766,7,すぎ,Ver.006.01
杪,MJ013646,U+676A,8,ビョウ・ソウ・ショウ・ミョウ・こずえ,Ver.006.01
杫,MJ013647,U+676B,8,シ,Ver.006.01
杬,MJ013648,U+676C,8,ゲン・ガン,Ver.006.01
杭,MJ013649,U+676D,8,コウ・ゴウ・くい・わたる,Ver.006.01
杮,MJ013651,U+676E,8,ハイ・こけら,Ver.006.01
杯,MJ013652,U+676F,8,ハイ・ヘ・さかずき,Ver.006.01
杰,MJ013653,U+6770,8,ケツ・ゲチ,Ver.006.01
東,MJ013654,U+6771,8,トウ・ひがし・あずま,Ver.006.01
杲,MJ013655,U+6772,8,コウ・ゴウ・あきらか・たかい,Ver.006.01
杳,MJ013656,U+6773,8,ヨウ・くらい・はるか,Ver.006.01
杴,MJ013657,U+6774,8,ケン・コン,Ver.006.01
杵,MJ013658,U+6775,8,ショ・きね・つち,Ver.006.01
杶,MJ013659,U+6776,8,チュン,Ver.006.01
杷,MJ013660,U+6777,8,ハ・ワ・ベ・ハイ・つか・え・さらい,Ver.006.01
杸,MJ013661,U+6778,8,シュ・ジュ・タイ・テ,Ver.006.01
杹,MJ013662,U+6779,8,カ・ケ,Ver.006.01
杺,MJ013663,U+677A,8,シン,Ver.006.01
杻,MJ013664,U+677B,8,チュウ・ジュウ・ニュ・チュン・てかせ,Ver.006.01
杼,MJ013665,U+677C,8,ジョ・ショ・チョ・ひ,Ver.006.01
杽,MJ013666,U+677D,8,チュウ,Ver.006.01
松,MJ013667,U+677E,8,ショウ・ジュ・まつ,Ver.006.01
松󠄃,MJ013668,U+677E,8,ショウ・まつ,Ver.006.01
板,MJ013669,U+677F,8,ハン・バン・ベン・いた,Ver.006.01
枀,MJ013670,U+6780,8,ショウ・まつ,Ver.006.01
极󠄂,MJ013671,U+6781,7,ソウ・キョウ・ギョウ,Ver.006.01
极,MJ013672,U+6781,8,キョウ・ギョウ,Ver.006.01
枂,MJ013673,U+6782,8,ガツ・ガチ・ゲツ,Ver.006.01
枃,MJ013674,U+6783,8,シン・ウン・イン,Ver.006.01
构,MJ013676,U+6784,8,コウ・ク,Ver.006.01
枅,MJ013677,U+6785,8,ケイ,Ver.006.01
枅󠄂,MJ013678,U+6785,10,ケイ・ケン・けた,Ver.006.01
枅󠄃,MJ013679,U+6785,10,ケイ,Ver.006.01
枆,MJ013681,U+6786,8,ボウ・モウ,Ver.006.01
枇,MJ013682,U+6787,8,ビ・ヒ・ヘイ,Ver.006.01
枈,MJ013683,U+6788,8,ヒ・ヘイ,Ver.006.01
枉,MJ013684,U+6789,8,オウ・ゴウ・キョウ・まがる・まげて・まげる,Ver.006.01
枊,MJ013685,U+678A,8,ゴウ,Ver.006.01
枋,MJ013686,U+678B,8,ホウ・ヘイ・ボウ・ヒョウ,Ver.006.01
枌,MJ013687,U+678C,8,フン・ブン・そぎ,Ver.006.01
枌󠄂,MJ013688,U+678C,8,フン・そぎ,Ver.006.01
枍,MJ013689,U+678D,8,エイ,Ver.006.01
枎,MJ013690,U+678E,8,フ・ブ,Ver.006.01
枏,MJ013691,U+678F,8,ダン・ナン・ゼン・ネン,Ver.006.01
析,MJ013692,U+6790,8,セキ・シャク・シ・さく,Ver.006.01
枑,MJ013693,U+6791,8,コ・ゴ,Ver.006.01
枒󠄂,MJ013694,U+6792,8,ヤ・ガ・ゲ,Ver.006.01
枒,MJ013695,U+6792,9,ヤ・ガ,Ver.006.01
枓,MJ013696,U+6793,8,トウ・シュ・ツ・ますがた・ひしゃく,Ver.006.01
枔,MJ013697,U+6794,8,シン・ジン,Ver.006.01
枕,MJ013698,U+6795,8,チン・シン・ジン・まくら,Ver.006.01
枖,MJ013699,U+6796,8,ヨウ,Ver.006.01
林,MJ013700,U+6797,8,リン・はやし,Ver.006.01
枘,MJ013701,U+6798,8,ゼイ・ネ・ナン・ドン・ほぞ,Ver.006.01
枙,MJ013702,U+6799,8,カ・ガ・アク・ヤク,Ver.006.01
枚,MJ013703,U+679A,8,マイ・バイ・びら・ひら・みき,Ver.006.01
枛,MJ013704,U+679B,8,ソウ・ショウ・はぬ・はの・はのき,Ver.006.01
果,MJ013705,U+679C,8,カ・ワ・ラ・カン・はたす・はてる・はて・はたして,Ver.006.01
枝,MJ013706,U+679D,8,シ・キ・ギ・えだ,Ver.006.01
枞,MJ013707,U+679E,8,ショウ,Ver.006.01
枟,MJ013708,U+679F,8,ウン,Ver.006.01
枠,MJ013709,U+67A0,8,わく,Ver.006.01
枡,MJ013710,U+67A1,8,ます,Ver.006.01
枢,MJ013711,U+67A2,8,スウ・オウ・シュ・かなめ・くるる・とぼそ,Ver.006.01
枦,MJ013712,U+67A6,8,ヘ・ロ・はじ・うつぎ・はぜ,Ver.006.01
枦󠄃,MJ013713,U+67A6,8,ロ・はぜ,Ver.006.01
枩,MJ013714,U+67A9,8,ショウ・まつ,Ver.006.01
枩󠄃,MJ013715,U+67A9,8,ショウ・まつ,Ver.006.01
枬,MJ013717,U+67AC,8,もみじ,Ver.006.01
枮,MJ013718,U+67AE,9,セン・チン,Ver.006.01
枯,MJ013719,U+67AF,9,コ・ク・ゴ・かれる・からす,Ver.006.01
枰,MJ013720,U+67B0,9,ヘイ・ビョウ,Ver.006.01
枱,MJ013722,U+67B1,9,イ・シ・ジ・ダイ,Ver.006.01
枲,MJ013723,U+67B2,9,シ・あさ・からむし,Ver.006.01
枳,MJ013724,U+67B3,9,キ・シ・ギ・からたち,Ver.006.01
枴,MJ013725,U+67B4,9,カイ・カ,Ver.006.01
枵,MJ013726,U+67B5,9,キョウ・むなしい,Ver.006.01
架,MJ013727,U+67B6,9,カ・ケ・かける・かかる・たな,Ver.006.01
枷,MJ013728,U+67B7,9,カ・ケ・ガ・キャ・かせ・からざお・くびかせ,Ver.006.01
枸,MJ013729,U+67B8,9,ク・コウ・くこ,Ver.006.01
枹,MJ013730,U+67B9,9,フ・ブ・ヒョウ・フウ・ホウ・ばち,Ver.006.01
枹󠄂,MJ013731,U+67B9,9,フ・ばち,Ver.006.01
枺,MJ013732,U+67BA,9,バツ・マチ,Ver.006.01
枻,MJ013733,U+67BB,9,エイ・セツ・かい・かじ,Ver.006.01
枼,MJ013734,U+67BC,9,ヨウ,Ver.006.01
枽,MJ013735,U+67BD,10,ソウ,Ver.006.01
枾,MJ013736,U+67BE,9,シ・かき,Ver.006.01
枿,MJ013737,U+67BF,9,ガチ・ガツ・ゲツ・ひこばえ,Ver.006.01
柀,MJ013738,U+67C0,9,ヒ・かや・すぎ,Ver.006.01
柁,MJ013739,U+67C1,9,ダ・タ・かじ,Ver.006.01
柂,MJ013740,U+67C2,9,ダ・かじ,Ver.006.01
柃,MJ013741,U+67C3,9,レイ・リョウ・ひさかき,Ver.006.01
柄,MJ013742,U+67C4,9,ヘイ・ヒョウ・がら・え・つか,Ver.006.01
柄󠄃,MJ013743,U+67C4,9,ヘイ・ヒョウ・がら・え・つか,Ver.006.01
柅,MJ013744,U+67C5,9,ニ・ジ・ニチ・ジツ・デイ・ナイ,Ver.006.01
柆,MJ013745,U+67C6,9,ロウ,Ver.006.01
柇,MJ013746,U+67C7,9,カ・ガ,Ver.006.01
柈,MJ013747,U+67C8,9,ハン・バン・たらい・はち,Ver.006.01
柉,MJ013749,U+67C9,9,ハン・ボン・ヘン・ベン,Ver.006.01
柊󠄃,MJ013750,U+67CA,9,シュウ・シュ・ひいらぎ,Ver.006.01
柊,MJ013751,U+67CA,9,シュウ・シュ・ひいらぎ,Ver.006.01
柋,MJ013752,U+67CB,9,タイ・ダイ,Ver.006.01
柌,MJ013753,U+67CC,9,シ,Ver.006.01
柍,MJ013754,U+67CD,9,ヨウ・オウ・エイ,Ver.006.01
柎,MJ013755,U+67CE,9,フ・ブ・うてな,Ver.006.01
柏,MJ013756,U+67CF,9,ハク・ヒャク・かしわ・このてがしわ,Ver.006.01
某,MJ013757,U+67D0,9,ボウ・バイ・モ・メ・それがし,Ver.006.01
柑,MJ013758,U+67D1,9,カン・ゲン・ケン・みかん,Ver.006.01
柒,MJ013759,U+67D2,9,シツ・シチ・うるし,Ver.006.01
染,MJ013760,U+67D3,9,セン・ネン・ゼン・そめる・そまる・しみる・しみ,Ver.006.01
柔,MJ013761,U+67D4,9,ジュウ・ニュウ・ショ・ニュ・やわらか・やわらかい・やわら・やわらげる,Ver.006.01
柔󠄃,MJ013762,U+67D4,9,ジュウ・ニュウ・やわらか・やわらかい,Ver.006.01
柕,MJ013763,U+67D5,9,ボウ・わき,Ver.006.01
柖,MJ013764,U+67D6,9,ショウ・ジョウ,Ver.006.01
柗,MJ013765,U+67D7,9,ショウ・まつ,Ver.006.01
柘,MJ013766,U+67D8,9,シャ・つげ・やまぐわ,Ver.006.01
柙,MJ013767,U+67D9,9,コウ・ゴウ・オウ・はこ・おり,Ver.006.01
柚,MJ013768,U+67DA,9,ユウ・ユ・チク・ジク・ゆず,Ver.006.01
柛,MJ013769,U+67DB,9,シン,Ver.006.01
柜,MJ013770,U+67DC,9,キョ・コ・ク,Ver.006.01
柜󠄂,MJ013771,U+67DC,9,キョ・コ・ク・ひつ,Ver.006.01
柝,MJ013772,U+67DD,9,タク・き,Ver.006.01
柞,MJ013773,U+67DE,9,サク・シャク・サ・ジャ・ザク・ははそ,Ver.006.01
柟,MJ013774,U+67DF,9,ダン・ナン・ゼン,Ver.006.01
柠,MJ013776,U+67E0,9,チョ・こうぞ,Ver.006.01
柡,MJ013777,U+67E1,9,エイ・ヨウ,Ver.006.01
柢,MJ013778,U+67E2,9,テイ・タイ・シ・ジ・ね,Ver.006.01
柣,MJ013779,U+67E3,9,ジチ・セチ・デチ・チツ・セツ・テツ・とじきみ,Ver.006.01
柤,MJ013780,U+67E4,9,ソ・サ・シャ・ショ,Ver.006.01
查,MJ013781,U+67E5,9,サ・しらべる,Ver.006.01
柦,MJ013782,U+67E6,9,タン・ダン,Ver.006.01
柧󠄃,MJ013783,U+67E7,9,コ・ク・カ・ケ,Ver.006.01
柧,MJ013784,U+67E7,10,コ・ク・カ・ケ,Ver.006.01
柨,MJ013785,U+67E8,9,ホ・フ,Ver.006.01
柩,MJ013786,U+67E9,9,キュウ・グ・ひつぎ,Ver.006.01
柪,MJ013787,U+67EA,9,オウ・ヨウ,Ver.006.01
柫,MJ013788,U+67EB,9,フツ・ブチ・ヒツ・ビチ,Ver.006.01
柬,MJ013789,U+67EC,9,カン・ケン・えらぶ,Ver.006.01
柭,MJ013790,U+67ED,9,ハツ・ハチ・フツ・フチ・ハイ・バイ・ヘツ・ヘチ,Ver.006.01
柮,MJ013791,U+67EE,9,トツ・トチ・ジュツ・ニュチ・ダツ・ネチ・サツ・ゴツ・ゴチ,Ver.006.01
柯,MJ013792,U+67EF,9,カ・え,Ver.006.01
柰,MJ013793,U+67F0,9,ダイ・ナイ・ナ・いかに・いかん・いかんぞ・からなし,Ver.006.01
柱,MJ013794,U+67F1,9,チュウ・チュ・ジュ・はしら・ことじ・ささえる,Ver.006.01
柱󠄃,MJ013795,U+67F1,9,チュウ・はしら,Ver.006.01
柲,MJ013796,U+67F2,9,ビチ・ベチ・ヒ・ヒツ・ヘツ・え,Ver.006.01
柳,MJ013797,U+67F3,9,リュウ・ル・やなぎ,Ver.006.01
